channel names:	
02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai0	02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai1
start times:	
2/17/2012 14:39:22.500000	2/17/2012 14:39:22.500011
dt:	
0.001000	
data:	
3.438774E-2	-4.264365E-3
2.957725E-2	1.312111E-2
3.053935E-2	3.462511E-3
3.182214E-2	2.429792E-4
2.829446E-2	2.818604E-3
2.925655E-2	5.072277E-3
3.021865E-2	-4.009272E-4
2.893585E-2	1.698454E-2
2.861515E-2	1.054548E-2
2.669096E-2	-4.264365E-3
2.861515E-2	1.473087E-2
2.989795E-2	1.473087E-2
2.733236E-2	5.394230E-3
3.086005E-2	4.080908E-2
3.438774E-2	9.257668E-3
3.374634E-2	1.215525E-2
3.021865E-2	3.340416E-2
3.118075E-2	1.312111E-2
3.150145E-2	2.213579E-2
2.893585E-2	-3.298506E-3
3.118075E-2	1.376501E-2
3.470843E-2	1.344306E-2
3.150145E-2	2.818604E-3
2.893585E-2	3.140558E-3
2.797376E-2	2.429792E-4
3.214284E-2	8.868855E-4
3.053935E-2	1.312111E-2
3.246354E-2	1.601868E-2
3.695333E-2	-4.009272E-4
3.438774E-2	1.473087E-2
3.278424E-2	1.118939E-2
3.534983E-2	3.140558E-3
3.695333E-2	3.533587E-2
3.727403E-2	4.106417E-3
3.823612E-2	1.086743E-2
3.855682E-2	3.952127E-2
3.951892E-2	2.535533E-2
3.951892E-2	2.632119E-2
3.631193E-2	-6.839990E-3
3.470843E-2	1.891626E-2
3.759473E-2	1.344306E-2
3.086005E-2	1.530792E-3
3.118075E-2	-7.228803E-4
3.470843E-2	8.868855E-4
3.310494E-2	1.852745E-3
3.374634E-2	1.151134E-2
3.502913E-2	2.149189E-2
3.631193E-2	8.613761E-3
3.342564E-2	2.052603E-2
3.855682E-2	1.988212E-2
4.112241E-2	1.054548E-2
4.208451E-2	3.597978E-2
3.599123E-2	7.003996E-3
3.823612E-2	1.473087E-2
4.080171E-2	3.437002E-2
3.951892E-2	1.988212E-2
4.016032E-2	2.889681E-2
3.631193E-2	-4.586318E-3
4.048102E-2	2.438947E-2
3.663263E-2	1.537478E-2
4.080171E-2	8.291808E-3
3.727403E-2	8.935715E-3
3.951892E-2	2.496651E-3
3.727403E-2	1.208839E-3
3.823612E-2	1.344306E-2
3.983962E-2	1.827236E-2
3.534983E-2	2.496651E-3
3.855682E-2	1.923822E-2
4.112241E-2	1.183329E-2
4.497080E-2	6.682042E-3
3.534983E-2	1.859431E-2
3.887752E-2	-7.897400E-5
3.823612E-2	-8.127803E-3
3.406704E-2	1.601868E-2
3.759473E-2	-1.366787E-3
3.887752E-2	4.750323E-3
3.855682E-2	1.730650E-2
3.663263E-2	4.750323E-3
4.304661E-2	4.428370E-3
4.144311E-2	-6.839990E-3
3.887752E-2	-2.010693E-3
3.823612E-2	-1.070343E-2
4.465010E-2	-9.415616E-3
4.176381E-2	-8.127803E-3
3.919822E-2	-1.688740E-3
4.400870E-2	-1.166929E-2
4.048102E-2	5.649323E-4
4.593290E-2	-7.897400E-5
3.887752E-2	-2.132788E-2
3.759473E-2	-5.552178E-3
3.663263E-2	-1.038147E-2
3.631193E-2	-2.100593E-2
