channel names:	
02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai0	02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai1
start times:	
2/17/2012 14:39:22.500000	2/17/2012 14:39:22.500011
dt:	
0.001000	
data:	
3.310494E-2	6.038136E-3
3.470843E-2	1.537478E-2
3.695333E-2	3.662369E-2
3.599123E-2	2.535533E-2
3.438774E-2	2.374556E-2
3.567053E-2	6.682042E-3
3.406704E-2	2.567728E-2
3.246354E-2	1.762845E-2
3.438774E-2	2.174698E-3
3.599123E-2	1.183329E-2
3.278424E-2	9.257668E-3
3.278424E-2	3.462511E-3
3.567053E-2	1.312111E-2
3.438774E-2	1.279915E-2
3.663263E-2	7.325949E-3
4.048102E-2	1.505282E-2
3.791542E-2	1.827236E-2
3.663263E-2	1.530792E-3
4.176381E-2	1.859431E-2
4.240521E-2	2.213579E-2
4.304661E-2	2.174698E-3
4.080171E-2	6.360089E-3
4.465010E-2	2.429792E-4
4.304661E-2	2.429792E-4
4.080171E-2	2.406751E-2
3.919822E-2	2.429792E-4
3.983962E-2	-5.552178E-3
3.727403E-2	1.505282E-2
3.663263E-2	4.106417E-3
4.048102E-2	9.901574E-3
4.304661E-2	-2.100593E-2
4.016032E-2	3.140558E-3
4.208451E-2	-7.228803E-4
4.272591E-2	-1.360101E-2
3.695333E-2	-1.070343E-2
3.246354E-2	-1.295710E-2
4.016032E-2	-1.488882E-2
3.663263E-2	-1.553273E-2
3.631193E-2	-1.134733E-2
3.534983E-2	-1.939616E-2
3.983962E-2	-9.737569E-3
3.823612E-2	-8.771709E-3
3.470843E-2	-2.164984E-2
3.599123E-2	-4.586318E-3
4.208451E-2	-7.161943E-3
3.631193E-2	-1.843030E-2
3.887752E-2	1.923822E-2
4.112241E-2	-1.392296E-2
3.951892E-2	-1.971812E-2
4.304661E-2	4.750323E-3
3.791542E-2	-9.737569E-3
3.310494E-2	-1.102538E-2
3.631193E-2	1.376501E-2
4.112241E-2	-9.415616E-3
3.631193E-2	-3.942412E-3
3.021865E-2	-2.422546E-2
3.759473E-2	-1.360101E-2
3.502913E-2	-1.971812E-2
3.118075E-2	-3.098648E-2
3.246354E-2	-3.130843E-2
3.342564E-2	-3.356210E-2
3.118075E-2	-3.227429E-2
3.374634E-2	-2.583523E-2
3.759473E-2	-2.068398E-2
3.759473E-2	-2.486937E-2
3.663263E-2	-1.166929E-2
3.599123E-2	-1.102538E-2
3.855682E-2	-2.454741E-2
3.631193E-2	-1.617663E-2
3.631193E-2	-1.939616E-2
3.887752E-2	-2.197179E-2
3.310494E-2	2.174698E-3
3.182214E-2	-3.002062E-2
3.695333E-2	-2.519132E-2
3.823612E-2	1.208839E-3
3.342564E-2	-1.939616E-2
3.406704E-2	-1.360101E-2
3.791542E-2	1.852745E-3
3.118075E-2	-1.231319E-2
3.053935E-2	-1.778640E-2
3.470843E-2	-2.454741E-2
3.310494E-2	-1.939616E-2
3.246354E-2	-3.195234E-2
2.797376E-2	-3.066452E-2
3.278424E-2	-2.841085E-2
3.310494E-2	-3.710359E-2
3.246354E-2	-2.937671E-2
3.791542E-2	-1.971812E-2
3.406704E-2	-1.971812E-2
3.182214E-2	-3.098648E-2
3.567053E-2	-1.327905E-2
3.438774E-2	-1.070343E-2
3.246354E-2	-2.647913E-2
3.118075E-2	-1.424491E-2
2.669096E-2	-1.714249E-2
2.893585E-2	-2.358155E-2
3.150145E-2	1.852745E-3
2.989795E-2	-2.551327E-2
3.310494E-2	-2.164984E-2
3.118075E-2	6.038136E-3
3.374634E-2	-1.456687E-2
3.310494E-2	-1.134733E-2
3.053935E-2	8.613761E-3
2.797376E-2	-3.942412E-3
2.701166E-2	-4.908271E-3
3.182214E-2	-1.714249E-2
2.829446E-2	-3.298506E-3
2.957725E-2	-1.134733E-2
3.246354E-2	-1.360101E-2
3.021865E-2	-1.134733E-2
2.637026E-2	-1.392296E-2
3.342564E-2	-7.483897E-3
3.599123E-2	-7.228803E-4
3.342564E-2	6.038136E-3
3.438774E-2	2.429792E-4
3.695333E-2	1.601868E-2
3.823612E-2	2.310165E-2
3.631193E-2	8.613761E-3
3.406704E-2	1.698454E-2
3.246354E-2	1.279915E-2
3.342564E-2	6.038136E-3
3.502913E-2	4.241885E-2
3.053935E-2	9.257668E-3
3.053935E-2	7.325949E-3
3.567053E-2	4.241885E-2
3.855682E-2	1.827236E-2
3.342564E-2	2.503337E-2
3.534983E-2	4.435056E-2
4.016032E-2	3.694564E-2
4.304661E-2	3.597978E-2
3.887752E-2	1.473087E-2
4.240521E-2	3.662369E-2
4.432940E-2	3.115048E-2
4.240521E-2	2.310165E-2
4.497080E-2	2.342361E-2
3.599123E-2	2.310165E-2
4.048102E-2	2.084798E-2
3.567053E-2	1.634064E-2
3.631193E-2	1.762845E-2
3.727403E-2	1.344306E-2
3.599123E-2	1.956017E-2
3.887752E-2	2.342361E-2
3.823612E-2	9.579621E-3
3.727403E-2	2.149189E-2
3.887752E-2	1.956017E-2
4.240521E-2	5.394230E-3
3.727403E-2	1.118939E-2
3.727403E-2	7.969855E-3
4.080171E-2	5.072277E-3
4.368801E-2	3.018462E-2
3.759473E-2	-1.688740E-3
4.048102E-2	-2.976552E-3
4.144311E-2	2.567728E-2
3.631193E-2	2.429792E-4
3.951892E-2	5.716183E-3
3.855682E-2	-1.038147E-2
3.374634E-2	5.716183E-3
3.150145E-2	5.072277E-3
3.759473E-2	-1.456687E-2
3.919822E-2	-7.483897E-3
3.278424E-2	-1.617663E-2
3.727403E-2	-2.293765E-2
4.144311E-2	-1.166929E-2
4.112241E-2	-7.161943E-3
3.567053E-2	-1.907421E-2
3.663263E-2	-3.620459E-3
3.599123E-2	-3.620459E-3
3.599123E-2	-2.519132E-2
3.567053E-2	-1.134733E-2
3.887752E-2	-7.483897E-3
3.534983E-2	-2.647913E-2
3.182214E-2	-2.164984E-2
3.406704E-2	-1.939616E-2
3.310494E-2	-2.197179E-2
3.246354E-2	2.174698E-3
3.534983E-2	-2.969866E-2
3.342564E-2	-2.486937E-2
3.150145E-2	-7.228803E-4
3.663263E-2	-2.293765E-2
4.016032E-2	-1.617663E-2
3.342564E-2	-2.808890E-2
3.310494E-2	-2.164984E-2
3.759473E-2	-1.907421E-2
